time(s),robot.pos.x(m),robot.pos.y(m),robot.pos.rz(rad),robot.vel.x(m),robot.vel.y(m),robot.vel.rz(rad),decawave.x,decawave.y
81517.269, -6.504209, -0.99571331, -1.567053, 0, 0, 0, -6.5, -1
81517.295, -6.5041037, -0.99582047, -1.567379, 0, 0, 0, -6.5, -1
81517.321, -6.5040011, -0.99279996, -1.5658456, 0, 0, 0, -6.5, -1
81517.347, -6.5039011, -0.99297996, -1.5673143, 0, 0, 0, -6.5, -1
81517.373, -6.5038036, -0.99315546, -1.5695819, 0, 0, 0, -6.5, -1
81517.401, -6.5038036, -0.99315546, -1.5695819, 0, 0, 0, -6.5, -1
81517.424, -6.5037085, -0.99332658, -1.5655058, 0, 0, 0, -6.5, -1
81517.45, -6.5036158, -0.99349341, -1.5680183, 0, 0, 0, -6.5, -1
81517.475, -6.5035254, -0.99365608, -1.5717367, 0, 0, 0, -6.5, -1
81517.501, -6.5035254, -0.99365608, -1.5717367, 0, 0, 0, -6.5, -1
81517.533, -6.5003123, -0.99693968, -1.5707129, 0, 0, 0, -6.5, -1
81517.559, -6.5003044, -0.99701618, -1.5744763, 0, 0, 0, -6.5, -1
81517.584, -6.5002968, -0.99709078, -1.5771279, 0, 0, 0, -6.5, -1
81517.611, -6.5002894, -0.99716351, -1.5782234, 0, 0, 0, -6.5, -1
81517.636, -6.5002894, -0.99716351, -1.5782234, 0, 0, 0, -6.5, -1
81517.662, -6.5002822, -0.99723442, -1.5806697, 0, 0, 0, -6.5, -1
81517.687, -6.5002751, -0.99417856, -1.5817265, 0, 0, 0, -6.5, -1
81517.711, -6.5002682, -0.9943241, -1.5806569, 0, 0, 0, -6.5, -1
81517.737, -6.5002682, -0.9943241, -1.5806569, 0, 0, 0, -6.5, -1
81517.762, -6.5002615, -0.994466, -1.5799844, 0, 0, 0, -6.5, -1
81517.788, -6.500255, -0.99772935, -1.5815506, 0, 0, 0, -6.5, -1
81517.814, -6.5002486, -1.0009111, -1.5761075, 0, 0, 0, -6.5, -1
81517.839, -6.4971174, -1.0040133, -1.5777113, 0, 0, 0, -6.5, -1
81517.865, -6.4971174, -1.0040133, -1.5777113, 0, 0, 0, -6.5, -1
81517.891, -6.4971895, -1.003913, -1.5782369, 0, 0, 0, -6.5, -1
81517.924, -6.4941347, -1.0006902, -1.5727555, 0, 0, 0, -6.5, -1
81517.944, -6.4942814, -1.0006729, -1.5699194, 0, 0, 0, -6.5, -1
81517.97, -6.4942814, -1.0006729, -1.5699194, 0, 0, 0, -6.5, -1
81517.996, -6.4944243, -1.0006561, -1.5742203, 0, 0, 0, -6.5, -1
81518.021, -6.4945637, -1.0006397, -1.5756453, 0, 0, 0, -6.5, -1
81518.048, -6.4946996, -1.0006237, -1.5776572, 0, 0, 0, -6.5, -1
81518.078, -6.4948321, -1.0006081, -1.5761496, 0, 0, 0, -6.5, -1
81518.1, -6.4948321, -1.0006081, -1.5761496, 0, 0, 0, -6.5, -1
81518.125, -6.4949613, -1.0005929, -1.5716752, 0, 0, 0, -6.5, -1
81518.151, -6.4950873, -1.0037031, -1.5698399, 0, 0, 0, -6.5, -1
81518.18, -6.4983351, -1.0036105, -1.5680654, 0, 0, 0, -6.5, -1
81518.204, -6.4983351, -1.0036105, -1.5680654, 0, 0, 0, -6.5, -1
81518.23, -6.4983767, -1.0035202, -1.5664651, 0, 0, 0, -6.5, -1
81518.257, -6.5015423, -1.0034322, -1.5636034, 0, 0, 0, -6.5, -1
81518.283, -6.5015038, -1.0033464, -1.5646719, 0, 0, 0, -6.5, -1
81518.313, -6.5014662, -1.0001378, -1.5678991, 0, 0, 0, -6.5, -1
81518.334, -6.5014662, -1.0001378, -1.5678991, 0, 0, 0, -6.5, -1
81518.36, -6.4983045, -1.0001343, -1.5616698, 0, 0, 0, -6.5, -1
81518.385, -6.4983469, -1.000131, -1.5594934, 0, 0, 0, -6.5, -1
81518.413, -6.4983882, -1.0001277, -1.5623058, 0, 0, 0, -6.5, -1
81518.439, -6.4984285, -0.9969995, -1.5580234, 0, 0, 0, -6.5, -1
81518.464, -6.4984285, -0.9969995, -1.5580234, 0, 0, 0, -6.5, -1
81518.49, -6.4984678, -0.99707452, -1.5556218, 0, 0, 0, -6.5, -1
81518.516, -6.5016311, -0.99714765, -1.5528306, 0, 0, 0, -6.5, -1
81518.542, -6.5015903, -0.99721896, -1.5516635, 0, 0, 0, -6.5, -1
81518.569, -6.5015903, -0.99721896, -1.5516635, 0, 0, 0, -6.5, -1
81518.593, -6.5015506, -0.99728849, -1.5506695, 0, 0, 0, -6.5, -1
81518.62, -6.5015118, -0.99735628, -1.5481611, 0, 0, 0, -6.5, -1
81518.646, -6.501474, -1.0005474, -1.5503833, 0, 0, 0, -6.5, -1
81518.673, -6.5014372, -1.0005337, -1.552273, 0, 0, 0, -6.5, -1
81518.702, -6.5014372, -1.0005337, -1.552273, 0, 0, 0, -6.5, -1
81518.725, -6.5014012, -1.0005203, -1.5541608, 0, 0, 0, -6.5, -1
81518.75, -6.5013662, -1.0005073, -1.5529944, 0, 0, 0, -6.5, -1
81518.776, -6.5044571, -1.0004947, -1.5500747, 0, 0, 0, -6.5, -1
81518.803, -6.5044571, -1.0004947, -1.5500747, 0, 0, 0, -6.5, -1
81518.831, -6.5074706, -1.0004823, -1.5493006, 0, 0, 0, -6.5, -1
81518.856, -6.5072839, -1.0004702, -1.5496555, 0, 0, 0, -6.5, -1
81518.88, -6.5039768, -1.0004585, -1.5505968, 0, 0, 0, -6.5, -1
81518.906, -6.5038773, -1.000447, -1.5490924, 0, 0, 0, -6.5, -1
81518.932, -6.5038773, -1.000447, -1.5490924, 0, 0, 0, -6.5, -1
81518.957, -6.5069054, -1.0004358, -1.5433338, 0, 0, 0, -6.5, -1
81518.985, -6.5067328, -1.0004249, -1.5465104, 0, 0, 0, -6.5, -1
81519.011, -6.5065645, -1.0004143, -1.5462286, 0, 0, 0, -6.5, -1
81519.037, -6.5065645, -1.0004143, -1.5462286, 0, 0, 0, -6.5, -1
81519.065, -6.5095253, -1.000404, -1.5474068, 0, 0, 0, -6.5, -1
81519.095, -6.5092872, -1.0003939, -1.5500826, 0, 0, 0, -6.5, -1
81519.118, -6.509055, -1.000384, -1.5504199, 0, 0, 0, -6.5, -1
81519.147, -6.5088287, -1.0003744, -1.5535525, 0, 0, 0, -6.5, -1
81519.172, -6.5088287, -1.0003744, -1.5535525, 0, 0, 0, -6.5, -1
81519.197, -6.5086079, -1.0034901, -1.5526223, 0, 0, 0, -6.5, -1
81519.226, -6.5083927, -1.0034028, -1.5539373, 0, 0, 0, -6.5, -1
81519.249, -6.5081829, -1.0033177, -1.556047, 0, 0, 0, -6.5, -1
81519.275, -6.5079784, -1.0032348, -1.5571751, 0, 0, 0, -6.5, -1
81519.301, -6.5079784, -1.0032348, -1.5571751, 0, 0, 0, -6.5, -1
81519.327, -6.5077789, -1.0000289, -1.5563103, 0, 0, 0, -6.5, -1
81519.356, -6.5044594, -1.0000282, -1.5585716, 0, 0, 0, -6.5, -1
81519.377, -6.5043479, -1.0000275, -1.5564861, 0, 0, 0, -6.5, -1
81519.403, -6.5043479, -1.0000275, -1.5564861, 0, 0, 0, -6.5, -1
81519.429, -6.5042392, -1.0000268, -1.5602746, 0, 0, 0, -6.5, -1
81519.456, -6.5041333, -1.0000261, -1.5645901, 0, 0, 0, -6.5, -1
81519.486, -6.5040299, -1.0031505, -1.5635122, 0, 0, 0, -6.5, -1
81519.508, -6.5070542, -1.0030717, -1.5613473, 0, 0, 0, -6.5, -1
81519.532, -6.5070542, -1.0030717, -1.5613473, 0, 0, 0, -6.5, -1
81519.56, -6.5100028, -1.0029949, -1.5611382, 0, 0, 0, -6.5, -1
81519.585, -6.5097528, -1.0029201, -1.5593174, 0, 0, 0, -6.5, -1
81519.615, -6.5095089, -1.002847, -1.5609872, 0, 0, 0, -6.5, -1
81519.641, -6.5095089, -1.002847, -1.5609872, 0, 0, 0, -6.5, -1
81519.664, -6.5092712, -1.0027759, -1.5653804, 0, 0, 0, -6.5, -1
81519.691, -6.5090394, -1.0027065, -1.562857, 0, 0, 0, -6.5, -1
81519.718, -6.5119384, -1.0026388, -1.5639218, 0, 0, 0, -6.5, -1
81519.743, -6.51164, -1.0025728, -1.5679255, 0, 0, 0, -6.5, -1
81519.766, -6.51164, -1.0025728, -1.5679255, 0, 0, 0, -6.5, -1
81519.793, -6.511349, -1.0025085, -1.5686369, 0, 0, 0, -6.5, -1
81519.818, -6.5110653, -1.0024458, -1.567943, 0, 0, 0, -6.5, -1
81519.844, -6.5139136, -1.0055097, -1.5712298, 0, 0, 0, -6.5, -1
81519.871, -6.5139136, -1.0055097, -1.5712298, 0, 0, 0, -6.5, -1
81519.896, -6.5135658, -1.0022469, -1.5734276, 0, 0, 0, -6.5, -1
81519.924, -6.5132266, -1.0021907, -1.5789201, 0, 0, 0, -6.5, -1
81519.95, -6.512896, -1.002136, -1.5829337, 0, 0, 0, -6.5, -1
81519.974, -6.5125736, -1.0020826, -1.5865009, 0, 0, 0, -6.5, -1
81520.004, -6.5125736, -1.0020826, -1.5865009, 0, 0, 0, -6.5, -1
81520.028, -6.5091342, -1.0020305, -1.5876607, 0, 0, 0, -6.5, -1
81520.055, -6.5089059, -1.0019798, -1.5876609, 0, 0, 0, -6.5, -1
81520.081, -6.5086832, -1.0019303, -1.5861935, 0, 0, 0, -6.5, -1
81520.108, -6.5084662, -1.001882, -1.5850722, 0, 0, 0, -6.5, -1
81520.142, -6.5084662, -1.001882, -1.5850722, 0, 0, 0, -6.5, -1
81520.16, -6.5082545, -1.001835, -1.5842192, 0, 0, 0, -6.5, -1
81520.186, -6.5080481, -1.0049141, -1.5861297, 0, 0, 0, -6.5, -1
81520.212, -6.5109719, -1.0016662, -1.581647, 0, 0, 0, -6.5, -1
81520.241, -6.5075726, -1.0047496, -1.5803417, 0, 0, 0, -6.5, -1
81520.273, -6.5075726, -1.0047496, -1.5803417, 0, 0, 0, -6.5, -1
81520.295, -6.5042583, -1.0046308, -1.5810803, 0, 0, 0, -6.5, -1
81520.322, -6.5041519, -1.0045151, -1.5815655, 0, 0, 0, -6.5, -1
81520.346, -6.5040481, -1.0044022, -1.5814403, 0, 0, 0, -6.5, -1
81520.373, -6.5039469, -1.0042921, -1.573673, 0, 0, 0, -6.5, -1
81520.401, -6.5039469, -1.0042921, -1.573673, 0, 0, 0, -6.5, -1
81520.425, -6.5038482, -1.0041848, -1.5708518, 0, 0, 0, -6.5, -1
81520.452, -6.503752, -1.0072052, -1.5677403, 0, 0, 0, -6.5, -1
81520.484, -6.5005332, -1.0070251, -1.5666724, 0, 0, 0, -6.5, -1
81520.504, -6.5005332, -1.0070251, -1.5666724, 0, 0, 0, -6.5, -1
81520.533, -6.5005199, -1.0068494, -1.5666509, 0, 0, 0, -6.5, -1
81520.554, -6.5005069, -1.0066782, -1.5667938, 0, 0, 0, -6.5, -1
81520.581, -6.4973692, -1.0096363, -1.571613, 0, 0, 0, -6.5, -1
81520.609, -6.497435, -1.0093954, -1.5708912, 0, 0, 0, -6.5, -1
81520.637, -6.497435, -1.0093954, -1.5708912, 0, 0, 0, -6.5, -1
81520.669, -6.4974991, -1.0060355, -1.5723702, 0, 0, 0, -6.5, -1
81520.688, -6.4944366, -1.0058846, -1.5714374, 0, 0, 0, -6.5, -1
81520.714, -6.4945757, -1.0057375, -1.5696828, 0, 0, 0, -6.5, -1
81520.74, -6.4947113, -1.005594, -1.5702417, 0, 0, 0, -6.5, -1
81520.767, -6.4947113, -1.005594, -1.5702417, 0, 0, 0, -6.5, -1
81520.793, -6.4948435, -1.0023292, -1.5707804, 0, 0, 0, -6.5, -1
81520.819, -6.4918474, -1.0022709, -1.5722798, 0, 0, 0, -6.5, -1
81520.844, -6.4920512, -1.0053392, -1.5738495, 0, 0, 0, -6.5, -1
